elapsed_sec,policy_version,last_batch_reward_mean,rolling_reward_mean,last_batch_steps,last_batch_trajectories
245.97,221,262.828125,252.66550024202607,33758,128
246.98,222,270.8984375,254.48879396782345,34796,128
247.99,222,270.8984375,254.48879396782345,34796,128
249.03,222,270.8984375,254.48879396782345,34796,128
250.09,223,265.703125,255.61022707104112,34124,128
251.13,223,265.703125,255.61022707104112,34124,128
252.17,224,255.671875,255.616391863937,32844,128
253.20,224,255.671875,255.616391863937,32844,128
254.25,225,275.0,257.5547526775433,35321,128
255.26,225,275.0,257.5547526775433,35321,128
256.31,226,261.4296875,257.942246159789,33579,128
257.32,226,261.4296875,257.942246159789,33579,128
258.38,226,261.4296875,257.942246159789,33579,128
259.45,227,279.484375,260.0964590438101,35890,128
260.51,227,279.484375,260.0964590438101,35890,128
261.59,228,254.890625,259.5758756394291,32751,128
262.63,228,254.890625,259.5758756394291,32751,128
263.68,229,256.2109375,259.23938182548625,32919,128
264.71,229,256.2109375,259.23938182548625,32919,128
265.73,230,258.8046875,259.1959123929376,33243,128
266.73,230,258.8046875,259.1959123929376,33243,128
267.80,230,258.8046875,259.1959123929376,33243,128
268.83,231,277.3125,261.0075711536438,35616,128
269.85,231,277.3125,261.0075711536438,35616,128
270.88,232,287.0078125,263.6075952882794,36853,128
271.91,232,287.0078125,263.6075952882794,36853,128
272.96,232,287.0078125,263.6075952882794,36853,128
273.99,233,277.0234375,264.9491795094515,35578,128
275.02,233,277.0234375,264.9491795094515,35578,128
276.06,234,279.6796875,266.42223030850636,35919,128
277.11,234,279.6796875,266.42223030850636,35919,128
278.17,234,279.6796875,266.42223030850636,35919,128
279.21,235,318.9921875,271.6792260276557,40941,128
280.24,235,318.9921875,271.6792260276557,40941,128
281.27,236,286.75,273.1863034248901,36818,128
282.31,236,286.75,273.1863034248901,36818,128
283.36,237,269.7734375,272.84501683240114,34651,128
284.36,237,269.7734375,272.84501683240114,34651,128
285.39,237,269.7734375,272.84501683240114,34651,128
286.42,238,280.140625,273.57457764916103,35970,128
287.46,238,280.140625,273.57457764916103,35970,128
288.49,239,278.171875,274.0343073842449,35720,128
289.53,239,278.171875,274.0343073842449,35720,128
290.58,239,278.171875,274.0343073842449,35720,128
291.63,240,309.671875,277.59806414582044,39747,128
292.68,240,309.671875,277.59806414582044,39747,128
293.74,241,283.0,278.1382577312384,36344,128
294.81,241,283.0,278.1382577312384,36344,128
295.83,242,279.59375,278.2838069581146,35903,128
296.83,242,279.59375,278.2838069581146,35903,128
297.86,242,279.59375,278.2838069581146,35903,128
298.91,243,297.6015625,280.2155825123032,38206,128
299.95,243,297.6015625,280.2155825123032,38206,128
300.98,244,273.7265625,279.56668051107283,35155,128
302.16,244,273.7265625,279.56668051107283,35155,128
303.21,244,273.7265625,279.56668051107283,35155,128
304.23,245,297.390625,281.34907495996555,38178,128
305.28,245,297.390625,281.34907495996555,38178,128
306.32,246,299.78125,283.192292463969,38486,128
307.35,246,299.78125,283.192292463969,38486,128
308.39,246,282.3828125,283.1113444675721,36254,128
309.41,247,282.3828125,283.1113444675721,36254,128
310.44,247,282.3828125,283.1113444675721,36254,128
311.48,248,267.5078125,281.5509912708149,34360,128
312.50,248,267.5078125,281.5509912708149,34360,128
313.53,249,282.59375,281.6552671437334,36287,128
314.53,249,282.59375,281.6552671437334,36287,128
315.58,249,282.59375,281.6552671437334,36287,128
316.62,250,305.7734375,284.06708417936005,39252,128
317.67,250,305.7734375,284.06708417936005,39252,128
318.70,251,270.0546875,282.66584451142404,34688,128
319.71,251,270.0546875,282.66584451142404,34688,128
320.74,251,270.0546875,282.66584451142404,34688,128
321.79,252,290.03125,283.40238506028163,37242,128
322.84,252,290.03125,283.40238506028163,37242,128
323.88,253,242.4765625,279.3098028042535,31165,128
324.91,253,242.4765625,279.3098028042535,31165,128
325.98,254,224.078125,273.7866350238281,28807,128
327.02,254,224.078125,273.7866350238281,28807,128
328.06,255,282.875,274.6954715214453,36326,128
329.19,255,282.875,274.6954715214453,36326,128
330.23,256,266.140625,273.8399868693008,34186,128
331.24,256,266.140625,273.8399868693008,34186,128
332.28,256,266.140625,273.8399868693008,34186,128
333.34,257,307.3046875,277.1864569323707,39446,128
334.38,257,307.3046875,277.1864569323707,39446,128
335.41,258,302.2421875,279.69202998913363,38791,128
336.42,258,302.2421875,279.69202998913363,38791,128
337.46,258,302.2421875,279.69202998913363,38791,128
338.48,259,315.9921875,283.3220457402203,40552,128
339.58,259,315.9921875,283.3220457402203,40552,128
340.61,259,315.9921875,283.3220457402203,40552,128
341.66,260,291.9453125,284.18437241619824,37479,128
342.71,260,291.9453125,284.18437241619824,37479,128
343.76,261,309.1015625,286.67609142457843,39677,128
344.88,261,309.1015625,286.67609142457843,39677,128
345.91,261,309.1015625,286.67609142457843,39677,128
346.93,262,308.796875,288.8881697821206,39638,128
348.06,262,308.796875,288.8881697821206,39638,128
349.11,262,308.796875,288.8881697821206,39638,128
350.14,263,306.015625,290.60091530390855,39286,128
351.18,263,306.015625,290.60091530390855,39286,128
352.21,263,306.015625,290.60091530390855,39286,128
353.26,264,309.2890625,292.46973002351774,39704,128
354.30,264,309.2890625,292.46973002351774,39704,128
355.33,264,309.2890625,292.46973002351774,39704,128
356.38,265,300.1171875,293.234475771166,38528,128
357.44,265,300.1171875,293.234475771166,38528,128
358.48,265,300.1171875,293.234475771166,38528,128
359.51,266,309.6796875,294.8789969440494,39754,128
360.53,266,309.6796875,294.8789969440494,39754,128
361.56,267,324.125,297.8035972496445,41595,128
362.56,267,324.125,297.8035972496445,41595,128
363.59,267,324.125,297.8035972496445,41595,128
364.62,268,329.7578125,300.99901877468005,42312,128
365.69,268,329.7578125,300.99901877468005,42312,128
366.73,268,329.7578125,300.99901877468005,42312,128
367.75,269,323.59375,303.2584918972121,41526,128
368.79,269,323.59375,303.2584918972121,41526,128
369.83,270,322.1875,305.15139270749086,41344,128
370.83,270,322.1875,305.15139270749086,41344,128
371.86,270,322.1875,305.15139270749086,41344,128
372.89,271,335.21875,308.1581284367418,43005,128
373.90,271,335.21875,308.1581284367418,43005,128
374.93,271,335.21875,308.1581284367418,43005,128
375.97,272,345.359375,311.8782530930676,44301,128
377.06,272,345.359375,311.8782530930676,44301,128
378.12,272,345.359375,311.8782530930676,44301,128
379.19,273,342.4921875,314.9396465337609,43942,128
380.19,273,342.4921875,314.9396465337609,43942,128
381.22,273,342.4921875,314.9396465337609,43942,128
382.28,274,339.734375,317.4191193803848,43584,128
383.28,274,339.734375,317.4191193803848,43584,128
384.32,274,339.734375,317.4191193803848,43584,128
385.39,275,336.78125,319.35533244234637,43201,128
386.57,275,336.78125,319.35533244234637,43201,128
387.62,275,336.78125,319.35533244234637,43201,128
388.66,276,332.0,320.6197991981117,42596,128
389.68,276,332.0,320.6197991981117,42596,128
390.72,276,332.0,320.6197991981117,42596,128
391.76,277,337.578125,322.31563177830054,43303,128
392.78,277,337.578125,322.31563177830054,43303,128
393.81,277,337.578125,322.31563177830054,43303,128
394.84,278,349.8046875,325.0645373504705,44871,128
395.90,278,349.8046875,325.0645373504705,44871,128
396.97,278,349.8046875,325.0645373504705,44871,128
398.01,279,328.1015625,325.36823986542345,42099,128
399.05,279,328.1015625,325.36823986542345,42099,128
400.06,279,328.1015625,325.36823986542345,42099,128
401.11,280,334.9609375,326.3275096288811,42972,128
402.16,280,334.9609375,326.3275096288811,42972,128
403.20,280,334.9609375,326.3275096288811,42972,128
404.23,281,333.90625,327.085383665993,42842,128
405.26,281,333.90625,327.085383665993,42842,128
406.30,281,333.90625,327.085383665993,42842,128
407.34,282,352.1953125,329.5963765493937,45178,128
408.38,282,352.1953125,329.5963765493937,45178,128
409.40,283,334.4375,330.0804888944544,42919,128
410.41,283,334.4375,330.0804888944544,42919,128
411.47,283,334.4375,330.0804888944544,42919,128
412.48,284,353.1796875,332.39040875500893,45304,128
413.49,284,353.1796875,332.39040875500893,45304,128
414.53,284,353.1796875,332.39040875500893,45304,128
415.57,284,353.1796875,332.39040875500893,45304,128
416.61,285,371.96875,336.348242879508,47702,128
417.67,285,371.96875,336.348242879508,47702,128
418.71,285,371.96875,336.348242879508,47702,128
419.75,286,360.28125,338.7415435915572,46201,128
420.78,286,360.28125,338.7415435915572,46201,128
421.81,286,360.28125,338.7415435915572,46201,128
422.86,287,344.6328125,339.3306704824015,44210,128
423.90,287,344.6328125,339.3306704824015,44210,128
424.95,287,344.6328125,339.3306704824015,44210,128
425.98,288,350.3359375,340.43119718416136,44940,128
427.07,288,350.3359375,340.43119718416136,44940,128
428.12,288,350.3359375,340.43119718416136,44940,128
429.18,289,361.90625,342.57870246574527,46419,128
430.20,289,361.90625,342.57870246574527,46419,128
431.26,290,357.625,344.08333221917076,45869,128
432.27,290,357.625,344.08333221917076,45869,128
433.31,290,357.625,344.08333221917076,45869,128
434.41,291,350.3515625,344.7101552472537,44945,128
435.41,291,350.3515625,344.7101552472537,44945,128
436.44,291,350.3515625,344.7101552472537,44945,128
437.48,292,334.25,343.6641397225283,42883,128
438.52,292,334.25,343.6641397225283,42883,128
439.54,292,334.25,343.6641397225283,42883,128
440.60,293,343.4609375,343.6438195002755,44058,128
441.64,293,343.4609375,343.6438195002755,44058,128
442.67,293,343.4609375,343.6438195002755,44058,128
443.73,294,372.4453125,346.523968800248,47763,128
444.89,294,372.4453125,346.523968800248,47763,128
445.92,294,372.4453125,346.523968800248,47763,128
446.97,295,359.578125,347.82938442022316,46113,128
448.09,295,359.578125,347.82938442022316,46113,128
449.14,295,359.578125,347.82938442022316,46113,128
450.19,296,363.9375,349.44019597820085,46668,128
451.24,296,363.9375,349.44019597820085,46668,128
452.28,296,363.9375,349.44019597820085,46668,128
453.32,297,362.21875,350.71805138038076,46447,128
454.40,297,362.21875,350.71805138038076,46447,128
455.44,297,362.21875,350.71805138038076,46447,128
456.47,298,357.9921875,351.4454649923427,45912,128
457.50,298,357.9921875,351.4454649923427,45912,128
458.55,298,357.9921875,351.4454649923427,45912,128
459.57,299,370.03125,353.30404349310845,47452,128
460.69,299,370.03125,353.30404349310845,47452,128
461.71,299,370.03125,353.30404349310845,47452,128
462.74,300,361.3203125,354.10567039379765,46339,128
463.78,300,361.3203125,354.10567039379765,46339,128
464.82,300,361.3203125,354.10567039379765,46339,128
465.87,301,329.7890625,351.6740096044179,42314,128
466.93,301,329.7890625,351.6740096044179,42314,128
467.97,301,329.7890625,351.6740096044179,42314,128
468.99,302,375.5,354.0566086439761,48149,128
